16:35:53:874 [main] INFO  fajar.logging.LevelLogTest - ini info
16:35:53:876 [main] WARN  fajar.logging.LevelLogTest - ini warning
16:35:53:876 [main] ERROR fajar.logging.LevelLogTest - ini error
16:50:25:721 [main] INFO  fajar.logging.LevelLogTest - ini info
16:50:25:723 [main] WARN  fajar.logging.LevelLogTest - ini warning
16:50:25:723 [main] ERROR fajar.logging.LevelLogTest - ini error
16:51:30:124 [main] INFO  fajar.logging.LevelLogTest - ini info
16:51:30:126 [main] WARN  fajar.logging.LevelLogTest - ini warning
16:51:30:126 [main] ERROR fajar.logging.LevelLogTest - ini error
17:06:46:062 {yyyy-MM-dd} [main] INFO  fajar.logging.LevelLogTest - ini info
17:06:46:064 {yyyy-MM-dd} [main] WARN  fajar.logging.LevelLogTest - ini warning
17:06:46:064 {yyyy-MM-dd} [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05 17:10:06,885 [main] INFO  fajar.logging.LevelLogTest - ini info
2024-08-05 17:10:06,887 [main] WARN  fajar.logging.LevelLogTest - ini warning
2024-08-05 17:10:06,887 [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05:17:10:32:010 [main] INFO  fajar.logging.LevelLogTest - ini info
2024-08-05:17:10:32:012 [main] WARN  fajar.logging.LevelLogTest - ini warning
2024-08-05:17:10:32:012 [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05 17:12:09:400 [main] INFO  fajar.logging.LevelLogTest - ini info
2024-08-05 17:12:09:402 [main] WARN  fajar.logging.LevelLogTest - ini warning
2024-08-05 17:12:09:402 [main] ERROR fajar.logging.LevelLogTest - ini error
2024-08-05 20:25:57:153 [main] INFO  fajar.logging.MyController - 1fb544ff-bfc1-482a-9d2e-85ffe3a2205d - Service 
2024-08-05 20:25:57:157 [main] INFO  fajar.logging.MyService - 1fb544ff-bfc1-482a-9d2e-85ffe3a2205d - Repository 
2024-08-05 20:25:57:157 [main] INFO  fajar.logging.MyRepository - 1fb544ff-bfc1-482a-9d2e-85ffe3a2205d - Repository 
2024-08-05 21:05:10:848 [main] INFO  fajar.logging.MyController - [604c2fca-e6d4-4d7d-92bc-3fcf43a440b7] - 604c2fca-e6d4-4d7d-92bc-3fcf43a440b7 - Service 
2024-08-05 21:05:10:851 [main] INFO  fajar.logging.MyService - [604c2fca-e6d4-4d7d-92bc-3fcf43a440b7] - 604c2fca-e6d4-4d7d-92bc-3fcf43a440b7 - Repository 
2024-08-05 21:05:10:851 [main] INFO  fajar.logging.MyRepository - [604c2fca-e6d4-4d7d-92bc-3fcf43a440b7] - 604c2fca-e6d4-4d7d-92bc-3fcf43a440b7 - Repository 
2024-08-05 21:05:32:062 [main] INFO  fajar.logging.MyController - [c99b9e2b-360a-49cd-ad4c-2b2e6dfdc725] - c99b9e2b-360a-49cd-ad4c-2b2e6dfdc725 - Service 
2024-08-05 21:05:32:065 [main] INFO  fajar.logging.MyService - [c99b9e2b-360a-49cd-ad4c-2b2e6dfdc725] - c99b9e2b-360a-49cd-ad4c-2b2e6dfdc725 - Repository 
2024-08-05 21:05:32:066 [main] INFO  fajar.logging.MyRepository - [c99b9e2b-360a-49cd-ad4c-2b2e6dfdc725] - c99b9e2b-360a-49cd-ad4c-2b2e6dfdc725 - Repository 
2024-08-05 21:07:22:364 [main] INFO  fajar.logging.MyController - [a5f8ddee-3124-476b-b543-575774004615] - {} - Service 
2024-08-05 21:07:22:365 [main] INFO  fajar.logging.MyService - [a5f8ddee-3124-476b-b543-575774004615] - {} - Repository 
2024-08-05 21:07:22:365 [main] INFO  fajar.logging.MyRepository - [a5f8ddee-3124-476b-b543-575774004615] - {} - Repository 
2024-08-05 21:11:41:611 [main] INFO  fajar.logging.MyController - [6e8c8d87-7876-46bd-bc99-29c5436cc8d9] -  - Service 
2024-08-05 21:11:41:612 [main] INFO  fajar.logging.MyService - [6e8c8d87-7876-46bd-bc99-29c5436cc8d9] -  - Repository 
2024-08-05 21:11:41:613 [main] INFO  fajar.logging.MyRepository - [6e8c8d87-7876-46bd-bc99-29c5436cc8d9] -  - Repository 
2024-08-05 21:16:46:325 [Thread-0] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-4] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-2] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-9] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-8] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:326 [Thread-4] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:325 [Thread-1] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:326 [Thread-8] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:325 [Thread-3] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-6] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-7] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:325 [Thread-5] INFO  fajar.logging.MyController - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Service 
2024-08-05 21:16:46:326 [Thread-0] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-7] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:326 [Thread-2] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-7] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:326 [Thread-9] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-1] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-4] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-9] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-3] INFO  fajar.logging.MyService - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-1] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
2024-08-05 21:16:46:327 [Thread-8] INFO  fajar.logging.MyRepository - [74693173-92c3-46db-95b1-f78aa13f7329] -  - Repository 
